     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
       423      5.50     405.50     0.934135E+04     0.934135E+04
       424      6.50     405.50     0.936290E+04     0.936290E+04
       425      7.50     405.50     0.938552E+04     0.938552E+04
       426      8.50     405.50     0.941259E+04     0.941259E+04
       427     10.00     405.50     0.945453E+04     0.945453E+04
       428     13.00     405.50     0.954069E+04     0.954069E+04
       429     19.00     405.50     0.966059E+04     0.966059E+04
       430     31.00     405.50     0.958186E+04     0.958186E+04
       431     55.00     405.50     0.944648E+04     0.944648E+04
       432    103.00     405.50     0.954617E+04     0.954617E+04
       433      0.50     406.50     0.922781E+04     0.922781E+04
       434      1.50     406.50     0.923445E+04     0.923445E+04
       435      2.50     406.50     0.924483E+04     0.924483E+04
       436      3.50     406.50     0.925943E+04     0.925943E+04
       437      4.25     406.50     0.927235E+04     0.927235E+04
       438      4.75     406.50     0.928249E+04     0.928249E+04
       439      5.50     406.50     0.929682E+04     0.929682E+04
       440      6.50     406.50     0.932058E+04     0.932058E+04
       441      7.50     406.50     0.934790E+04     0.934790E+04
       442      8.50     406.50     0.937680E+04     0.937680E+04
       443     10.00     406.50     0.942598E+04     0.942598E+04
       444     13.00     406.50     0.952861E+04     0.952861E+04
       445     19.00     406.50     0.966679E+04     0.966679E+04
       446     31.00     406.50     0.958589E+04     0.958589E+04
       447     55.00     406.50     0.944256E+04     0.944256E+04
       448    103.00     406.50     0.954629E+04     0.954629E+04
       449      0.50     407.50     0.916825E+04     0.916825E+04
       450      1.50     407.50     0.917508E+04     0.917508E+04
       451      2.50     407.50     0.918972E+04     0.918972E+04
       452      3.50     407.50     0.920565E+04     0.920565E+04
       453      4.25     407.50     0.921951E+04     0.921951E+04
       454      4.75     407.50     0.923179E+04     0.923179E+04
       455      5.50     407.50     0.924967E+04     0.924967E+04
       456      6.50     407.50     0.927679E+04     0.927679E+04
       457      7.50     407.50     0.930726E+04     0.930726E+04
       458      8.50     407.50     0.934112E+04     0.934112E+04
       459     10.00     407.50     0.939651E+04     0.939651E+04
       460     13.00     407.50     0.951642E+04     0.951642E+04
       461     19.00     407.50     0.967563E+04     0.967563E+04
       462     31.00     407.50     0.959012E+04     0.959012E+04
       463     55.00     407.50     0.943858E+04     0.943858E+04
       464    103.00     407.50     0.954636E+04     0.954636E+04
       465      0.50     408.50     0.910695E+04     0.910695E+04
       466      1.50     408.50     0.911398E+04     0.911398E+04
       467      2.50     408.50     0.912946E+04     0.912946E+04
       468      3.50     408.50     0.914861E+04     0.914861E+04
       469      4.25     408.50     0.916563E+04     0.916563E+04
       470      4.75     408.50     0.917928E+04     0.917928E+04
       471      5.50     408.50     0.919853E+04     0.919853E+04
       472      6.50     408.50     0.922804E+04     0.922804E+04
       473      7.50     408.50     0.926443E+04     0.926443E+04
