     COMPUTED NODAL POINT DISPLACEMENTS,
  NODE  R-COORD  Z-COORD  GRA DISP_R  GRA DISP_Z  SUR DISP_R  SUR DISP_Z
   257     3.00   368.00   0.286E-05  -0.189E+00   0.126E-03  -0.460E-02
   258     3.50   368.00   0.333E-05  -0.189E+00   0.147E-03  -0.459E-02
   259     4.00   368.00   0.379E-05  -0.189E+00   0.168E-03  -0.458E-02
   260     4.25   368.00   0.402E-05  -0.189E+00   0.178E-03  -0.458E-02
   261     4.50   368.00   0.424E-05  -0.189E+00   0.189E-03  -0.458E-02
   262     4.75   368.00   0.446E-05  -0.189E+00   0.199E-03  -0.457E-02
   263     5.00   368.00   0.468E-05  -0.189E+00   0.209E-03  -0.457E-02
   264     5.50   368.00   0.512E-05  -0.189E+00   0.230E-03  -0.456E-02
   265     6.00   368.00   0.556E-05  -0.189E+00   0.250E-03  -0.455E-02
   266     6.50   368.00   0.601E-05  -0.189E+00   0.270E-03  -0.454E-02
   267     7.00   368.00   0.645E-05  -0.189E+00   0.290E-03  -0.453E-02
   268     7.50   368.00   0.692E-05  -0.189E+00   0.310E-03  -0.452E-02
   269     8.00   368.00   0.738E-05  -0.189E+00   0.330E-03  -0.451E-02
   270     8.50   368.00   0.785E-05  -0.189E+00   0.349E-03  -0.450E-02
   271     9.00   368.00   0.831E-05  -0.189E+00   0.368E-03  -0.449E-02
   272    10.00   368.00   0.924E-05  -0.189E+00   0.406E-03  -0.446E-02
   273    11.00   368.00   0.101E-04  -0.189E+00   0.443E-03  -0.443E-02
   274    13.00   368.00   0.119E-04  -0.189E+00   0.514E-03  -0.436E-02
   275    15.00   368.00   0.136E-04  -0.189E+00   0.580E-03  -0.428E-02
   276    19.00   368.00   0.169E-04  -0.189E+00   0.696E-03  -0.410E-02
   277    23.00   368.00   0.201E-04  -0.189E+00   0.791E-03  -0.390E-02
   278    31.00   368.00   0.266E-04  -0.189E+00   0.908E-03  -0.345E-02
   279    39.00   368.00   0.324E-04  -0.189E+00   0.947E-03  -0.299E-02
   280    55.00   368.00   0.406E-04  -0.189E+00   0.869E-03  -0.214E-02
   281    71.00   368.00   0.394E-04  -0.189E+00   0.684E-03  -0.151E-02
   282   103.00   368.00   0.299E-04  -0.189E+00   0.309E-03  -0.862E-03
   283   135.00   368.00   0.000E+00  -0.189E+00   0.000E+00  -0.648E-03
   284     0.00   372.00   0.000E+00  -0.189E+00   0.000E+00  -0.502E-02
   285     1.00   372.00   0.971E-06  -0.189E+00   0.487E-04  -0.502E-02
   286     2.00   372.00   0.194E-05  -0.189E+00   0.974E-04  -0.501E-02
   287     3.00   372.00   0.293E-05  -0.189E+00   0.146E-03  -0.500E-02
   288     4.00   372.00   0.395E-05  -0.189E+00   0.194E-03  -0.499E-02
   289     4.50   372.00   0.448E-05  -0.189E+00   0.217E-03  -0.498E-02
   290     5.00   372.00   0.501E-05  -0.189E+00   0.241E-03  -0.497E-02
   291     6.00   372.00   0.597E-05  -0.189E+00   0.288E-03  -0.495E-02
   292     7.00   372.00   0.685E-05  -0.189E+00   0.334E-03  -0.493E-02
   293     8.00   372.00   0.771E-05  -0.189E+00   0.379E-03  -0.490E-02
   294     9.00   372.00   0.855E-05  -0.189E+00   0.423E-03  -0.487E-02
   295    11.00   372.00   0.102E-04  -0.189E+00   0.507E-03  -0.480E-02
   296    15.00   372.00   0.134E-04  -0.189E+00   0.660E-03  -0.462E-02
   297    23.00   372.00   0.198E-04  -0.189E+00   0.888E-03  -0.417E-02
   298    39.00   372.00   0.325E-04  -0.189E+00   0.103E-02  -0.312E-02
   299    71.00   372.00   0.407E-04  -0.189E+00   0.704E-03  -0.151E-02
   300   135.00   372.00   0.000E+00  -0.189E+00   0.000E+00  -0.624E-03
   301     0.00   376.00   0.000E+00  -0.190E+00   0.000E+00  -0.549E-02
   302     0.50   376.00   0.496E-06  -0.190E+00   0.282E-04  -0.549E-02
   303     1.00   376.00   0.993E-06  -0.190E+00   0.564E-04  -0.549E-02
   304     1.50   376.00   0.148E-05  -0.190E+00   0.845E-04  -0.549E-02
   305     2.00   376.00   0.197E-05  -0.190E+00   0.113E-03  -0.548E-02
   306     2.50   376.00   0.245E-05  -0.190E+00   0.141E-03  -0.548E-02
   307     3.00   376.00   0.294E-05  -0.190E+00   0.168E-03  -0.547E-02
   308     3.50   376.00   0.341E-05  -0.190E+00   0.196E-03  -0.546E-02
   309     4.00   376.00   0.390E-05  -0.190E+00   0.224E-03  -0.545E-02
   310     4.25   376.00   0.413E-05  -0.190E+00   0.237E-03  -0.545E-02
   311     4.50   376.00   0.436E-05  -0.190E+00   0.251E-03  -0.544E-02
   312     4.75   376.00   0.458E-05  -0.190E+00   0.265E-03  -0.544E-02
   313     5.00   376.00   0.480E-05  -0.190E+00   0.278E-03  -0.543E-02
   314     5.50   376.00   0.526E-05  -0.190E+00   0.305E-03  -0.542E-02
   315     6.00   376.00   0.570E-05  -0.190E+00   0.332E-03  -0.541E-02
   316     6.50   376.00   0.615E-05  -0.190E+00   0.358E-03  -0.539E-02
   317     7.00   376.00   0.658E-05  -0.190E+00   0.385E-03  -0.538E-02
   318     7.50   376.00   0.700E-05  -0.190E+00   0.411E-03  -0.536E-02
   319     8.00   376.00   0.741E-05  -0.190E+00   0.436E-03  -0.535E-02
   320     8.50   376.00   0.781E-05  -0.190E+00   0.461E-03  -0.533E-02
   321     9.00   376.00   0.821E-05  -0.190E+00   0.486E-03  -0.531E-02
   322    10.00   376.00   0.901E-05  -0.190E+00   0.535E-03  -0.527E-02
   323    11.00   376.00   0.981E-05  -0.190E+00   0.582E-03  -0.522E-02
