  STRESSES @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD      SIGMA R        SIGMA TH       SIGMA Z       SIGMA RZ
    256   103.00   394.50     -0.219569E+01  -0.210515E+01  -0.254075E+01   0.397263E-01
    257     0.50   395.50     -0.209882E+01  -0.209802E+01  -0.538229E+01   0.387026E-01
    258     1.50   395.50     -0.210291E+01  -0.209828E+01  -0.537224E+01   0.114438E+00
    259     2.50   395.50     -0.210860E+01  -0.209591E+01  -0.534880E+01   0.191224E+00
    260     3.50   395.50     -0.211975E+01  -0.209435E+01  -0.531472E+01   0.265447E+00
    261     4.25   395.50     -0.213023E+01  -0.209276E+01  -0.528193E+01   0.318989E+00
    262     4.75   395.50     -0.213698E+01  -0.209093E+01  -0.525638E+01   0.353260E+00
    263     5.50   395.50     -0.215122E+01  -0.209069E+01  -0.521694E+01   0.403299E+00
    264     6.50   395.50     -0.217130E+01  -0.208928E+01  -0.515654E+01   0.465671E+00
    265     7.50   395.50     -0.219288E+01  -0.208678E+01  -0.508700E+01   0.522718E+00
    266     8.50   395.50     -0.221888E+01  -0.208575E+01  -0.501227E+01   0.576712E+00
    267    10.00   395.50     -0.225864E+01  -0.208293E+01  -0.488728E+01   0.645229E+00
    268    13.00   395.50     -0.233627E+01  -0.207588E+01  -0.461111E+01   0.745008E+00
    269    19.00   395.50     -0.243719E+01  -0.203348E+01  -0.400278E+01   0.792933E+00
    270    31.00   395.50     -0.245756E+01  -0.197910E+01  -0.311190E+01   0.602028E+00
    271    55.00   395.50     -0.231771E+01  -0.202968E+01  -0.259221E+01   0.216800E+00
    272   103.00   395.50     -0.213580E+01  -0.204672E+01  -0.246962E+01   0.389659E-01
    273     0.50   396.50     -0.205528E+01  -0.205418E+01  -0.547574E+01   0.422445E-01
    274     1.50   396.50     -0.205992E+01  -0.205412E+01  -0.546274E+01   0.124125E+00
    275     2.50   396.50     -0.206760E+01  -0.205329E+01  -0.543849E+01   0.206829E+00
    276     3.50   396.50     -0.207873E+01  -0.205120E+01  -0.540185E+01   0.287207E+00
    277     4.25   396.50     -0.209008E+01  -0.204934E+01  -0.536572E+01   0.345649E+00
    278     4.75   396.50     -0.209715E+01  -0.204659E+01  -0.533697E+01   0.381954E+00
    279     5.50   396.50     -0.211297E+01  -0.204636E+01  -0.529376E+01   0.435583E+00
    280     6.50   396.50     -0.213441E+01  -0.204383E+01  -0.522578E+01   0.501722E+00
    281     7.50   396.50     -0.215873E+01  -0.204078E+01  -0.514826E+01   0.562289E+00
    282     8.50   396.50     -0.218599E+01  -0.203899E+01  -0.506554E+01   0.619575E+00
    283    10.00   396.50     -0.222956E+01  -0.203625E+01  -0.492916E+01   0.691172E+00
    284    13.00   396.50     -0.231183E+01  -0.202680E+01  -0.462660E+01   0.792298E+00
    285    19.00   396.50     -0.241413E+01  -0.197907E+01  -0.397010E+01   0.832741E+00
    286    31.00   396.50     -0.242389E+01  -0.192352E+01  -0.303991E+01   0.614879E+00
    287    55.00   396.50     -0.226828E+01  -0.197746E+01  -0.252196E+01   0.213250E+00
    288   103.00   396.50     -0.207823E+01  -0.199071E+01  -0.240150E+01   0.382009E-01
    289     0.50   397.50     -0.201486E+01  -0.201375E+01  -0.558238E+01   0.455797E-01
    290     1.50   397.50     -0.202070E+01  -0.201412E+01  -0.556839E+01   0.134693E+00
    291     2.50   397.50     -0.202879E+01  -0.201255E+01  -0.553981E+01   0.223090E+00
    292     3.50   397.50     -0.204104E+01  -0.201045E+01  -0.549968E+01   0.310156E+00
    293     4.25   397.50     -0.205196E+01  -0.200767E+01  -0.546014E+01   0.372732E+00
