  STRAINS @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD       EPS R          EPS TH         EPS Z         EPS RZ
    248     6.50   394.50      0.108473E-03   0.119779E-03  -0.257046E-03   0.131805E-03
    249     7.50   394.50      0.103273E-03   0.117933E-03  -0.249545E-03   0.148338E-03
    250     8.50   394.50      0.975755E-04   0.115880E-03  -0.241282E-03   0.163424E-03
    251    10.00   394.50      0.882858E-04   0.112450E-03  -0.227753E-03   0.183153E-03
    252    13.00   394.50      0.682845E-04   0.104593E-03  -0.197950E-03   0.211722E-03
    253    19.00   394.50      0.296607E-04   0.867243E-04  -0.136385E-03   0.229095E-03
    254    31.00   394.50     -0.159791E-04   0.537113E-04  -0.485110E-04   0.178833E-03
    255    55.00   394.50     -0.249581E-04   0.185370E-04   0.173815E-05   0.651088E-04
    256   103.00   394.50     -0.104015E-04   0.239426E-05   0.590060E-05   0.924276E-05
    257     0.50   395.50      0.132073E-03   0.132201E-03  -0.296339E-03   0.118045E-04
    258     1.50   395.50      0.131130E-03   0.131878E-03  -0.294995E-03   0.352881E-04
    259     2.50   395.50      0.129247E-03   0.131248E-03  -0.292320E-03   0.583804E-04
    260     3.50   395.50      0.126470E-03   0.130311E-03  -0.288370E-03   0.808197E-04
    261     4.25   395.50      0.123834E-03   0.129412E-03  -0.284574E-03   0.970409E-04
    262     4.75   395.50      0.121811E-03   0.128720E-03  -0.281682E-03   0.107561E-03
    263     5.50   395.50      0.118408E-03   0.127554E-03  -0.276833E-03   0.122737E-03
    264     6.50   395.50      0.113287E-03   0.125765E-03  -0.269469E-03   0.141838E-03
    265     7.50   395.50      0.107551E-03   0.123729E-03  -0.261168E-03   0.159379E-03
    266     8.50   395.50      0.101272E-03   0.121463E-03  -0.252048E-03   0.175387E-03
    267    10.00   395.50      0.911068E-04   0.117685E-03  -0.237178E-03   0.195998E-03
    268    13.00   395.50      0.694151E-04   0.109071E-03  -0.204712E-03   0.225258E-03
    269    19.00   395.50      0.282403E-04   0.896829E-04  -0.138559E-03   0.240531E-03
    270    31.00   395.50     -0.183287E-04   0.546099E-04  -0.471959E-04   0.182894E-03
    271    55.00   395.50     -0.256094E-04   0.184085E-04   0.249239E-05   0.642993E-04
    272   103.00   395.50     -0.102390E-04   0.234029E-05   0.583053E-05   0.898535E-05
    273     0.50   396.50      0.139162E-03   0.139305E-03  -0.312529E-03   0.127889E-04
    274     1.50   396.50      0.138097E-03   0.138941E-03  -0.311008E-03   0.381648E-04
    275     2.50   396.50      0.136003E-03   0.138235E-03  -0.308022E-03   0.631299E-04
    276     3.50   396.50      0.132933E-03   0.137192E-03  -0.303634E-03   0.873316E-04
    277     4.25   396.50      0.130035E-03   0.136197E-03  -0.299449E-03   0.104875E-03
    278     4.75   396.50      0.127781E-03   0.135433E-03  -0.296225E-03   0.116112E-03
    279     5.50   396.50      0.123997E-03   0.134139E-03  -0.290833E-03   0.132408E-03
    280     6.50   396.50      0.118344E-03   0.132157E-03  -0.282679E-03   0.152797E-03
    281     7.50   396.50      0.111999E-03   0.129904E-03  -0.273490E-03   0.171485E-03
    282     8.50   396.50      0.105100E-03   0.127398E-03  -0.263433E-03   0.188406E-03
    283    10.00   396.50      0.939738E-04   0.123233E-03  -0.247099E-03   0.209972E-03
    284    13.00   396.50      0.703992E-04   0.113774E-03  -0.211629E-03   0.239782E-03
    285    19.00   396.50      0.265411E-04   0.927214E-04  -0.140553E-03   0.252501E-03
    286    31.00   396.50     -0.208168E-04   0.554651E-04  -0.456979E-04   0.186785E-03
    287    55.00   396.50     -0.262301E-04   0.182524E-04   0.324504E-05   0.633782E-04
    288   103.00   396.50     -0.100622E-04   0.228397E-05   0.575065E-05   0.872549E-05
    289     0.50   397.50      0.146767E-03   0.146925E-03  -0.329965E-03   0.138604E-04
    290     1.50   397.50      0.145589E-03   0.146524E-03  -0.328283E-03   0.413841E-04
    291     2.50   397.50      0.143267E-03   0.145740E-03  -0.324969E-03   0.683817E-04
    292     3.50   397.50      0.139834E-03   0.144582E-03  -0.320064E-03   0.945247E-04
    293     4.25   397.50      0.136596E-03   0.143471E-03  -0.315382E-03   0.113428E-03
    294     4.75   397.50      0.134105E-03   0.142620E-03  -0.311810E-03   0.125577E-03
    295     5.50   397.50      0.129915E-03   0.141182E-03  -0.305813E-03   0.143024E-03
    296     6.50   397.50      0.123630E-03   0.138980E-03  -0.296728E-03   0.164817E-03
    297     7.50   397.50      0.116646E-03   0.136478E-03  -0.286571E-03   0.184731E-03
    298     8.50   397.50      0.109075E-03   0.133708E-03  -0.275490E-03   0.202610E-03
    299    10.00   397.50      0.968426E-04   0.129110E-03  -0.257473E-03   0.225149E-03
    300    13.00   397.50      0.712240E-04   0.118710E-03  -0.218698E-03   0.255382E-03
    301    19.00   397.50      0.245265E-04   0.958338E-04  -0.142332E-03   0.264991E-03
    302    31.00   397.50     -0.234417E-04   0.562678E-04  -0.440109E-04   0.190459E-03
    303    55.00   397.50     -0.268142E-04   0.180675E-04   0.399123E-05   0.623454E-04
    304   103.00   397.50     -0.987102E-05   0.222529E-05   0.566037E-05   0.846402E-05
    305     0.50   398.50      0.154957E-03   0.155129E-03  -0.348792E-03   0.150599E-04
    306     1.50   398.50      0.153661E-03   0.154691E-03  -0.346943E-03   0.449452E-04
    307     2.50   398.50      0.151021E-03   0.153817E-03  -0.343179E-03   0.742228E-04
    308     3.50   398.50      0.147163E-03   0.152506E-03  -0.337650E-03   0.102465E-03
